x_value,total_1,total_2
141,1109,1041
142,1108,1036
143,1106,1039
144,1105,1041
145,1112,1045
146,1116,1048
147,1120,1049
148,1116,1055
149,1118,1054
150,1118,1054
151,1119,1055
152,1117,1054
153,1117,1049
154,1121,1049
155,1116,1045
156,1112,1040
157,1111,1044
158,1116,1043
159,1114,1039
160,1120,1039
161,1124,1036
162,1124,1034
163,1123,1035
164,1118,1040
165,1112,1041
166,1112,1046
167,1113,1043
168,1121,1042
169,1119,1042
170,1121,1047
171,1119,1053
172,1126,1051
173,1121,1049
174,1116,1048
175,1112,1048
176,1115,1045
177,1117,1051
178,1118,1052
179,1114,1056
180,1121,1053
181,1116,1049
182,1122,1053
183,1117,1056
184,1117,1056
185,1112,1053
186,1120,1049
187,1120,1055
188,1119,1057
189,1117,1058
190,1125,1057
191,1124,1059
192,1124,1060
193,1118,1059
194,1112,1063
195,1111,1058
196,1118,1057
197,1117,1055
198,1119,1057
199,1115,1061
200,1113,1058
201,1107,1060
202,1104,1066
203,1108,1065
204,1102,1061
205,1102,1066
206,1109,1061
207,1110,1065
208,1114,1063
209,1118,1058
210,1114,1056
211,1119,1062
212,1122,1065
213,1127,1060
214,1124,1059
215,1121,1060
216,1119,1057
217,1120,1055
218,1114,1051
219,1118,1050
220,1117,1048
221,1123,1049
222,1123,1051
223,1124,1046
224,1119,1048
225,1119,1050
226,1127,1048
227,1135,1048
228,1134,1044
229,1134,1046
230,1131,1041
231,1127,1038
232,1128,1037
233,1127,1032
234,1133,1038
235,1137,1044
236,1140,1047
237,1147,1050
238,1146,1050
239,1141,1047
240,1145,1046
241,1140,1041
242,1136,1036
243,1138,1036
244,1145,1031
245,1151,1033
246,1146,1031
247,1140,1027
248,1145,1022
249,1143,1028
250,1147,1028
251,1152,1025
252,1154,1022
253,1149,1025
254,1143,1023
255,1151,1018
256,1146,1023
257,1144,1019
258,1139,1018
259,1138,1020
260,1143,1019
261,1144,1016
262,1147,1018
263,1143,1023
264,1145,1021
265,1143,1024
266,1151,1020
267,1151,1015
268,1151,1012
269,1156,1009
270,1154,1004
271,1161,1001
272,1161,1003
273,1159,1009
274,1159,1013
275,1164,1013
276,1166,1017
277,1164,1014
278,1169,1017
279,1175,1015
280,1170,1015
281,1170,1015
282,1170,1020
283,1169,1024
284,1171,1023
285,1175,1020
286,1171,1016
287,1169,1017
288,1164,1023
289,1159,1021
290,1154,1022
291,1156,1018
292,1155,1015
293,1155,1016
294,1162,1019
295,1168,1024
296,1174,1020
297,1175,1024
298,1171,1026
299,1177,1030
300,1172,1036
301,1172,1038
302,1177,1036
303,1173,1034
304,1172,1034
305,1173,1029
306,1181,1028
307,1184,1024
308,1183,1029
309,1179,1024
310,1175,1020
311,1172,1025
312,1167,1021
313,1171,1017
314,1166,1023
315,1173,1026
316,1172,1031
317,1180,1032
318,1185,1033
319,1190,1039
320,1197,1045
321,1201,1048
322,1198,1044
323,1206,1042
324,1206,1048
325,1203,1045
326,1202,1047
327,1201,1050
328,1209,1055
329,1208,1061
330,1207,1060
331,1211,1066
332,1206,1061
333,1206,1060
334,1209,1066
335,1215,1069
336,1218,1064
337,1218,1059
338,1223,1062
339,1223,1065
340,1219,1061
341,1226,1058
342,1231,1062
343,1237,1061
344,1244,1060
345,1238,1063
346,1241,1059
347,1246,1063
348,1248,1059
349,1249,1065
350,1255,1061
351,1262,1062
352,1270,1060
353,1273,1061
354,1278,1064
355,1286,1070
356,1288,1067
357,1295,1071
358,1293,1075
359,1296,1080
360,1296,1078
361,1298,1074
362,1300,1076
363,1305,1076
364,1309,1082
365,1315,1081
366,1318,1082
367,1326,1085
368,1323,1085
369,1325,1085
370,1323,1087
371,1320,1087
372,1323,1092
373,1321,1098
374,1322,1098
375,1328,1103
